Routes,LineType,DayofWeek,Boardings,Period,Period_date,FID
72,Core,Weekday,2728,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,1
73,Core,Weekday,1920,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,2
76,Null,Weekday,17,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,3
77,Core,Weekday,1791,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,4
81,Local,Weekday,3012,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,5
82,Local,Weekday,1419,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,6
85,Null,Weekday,1028,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,7
88,Community,Weekday,365,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,8
89,Local,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,9
101,Express,Weekday,92,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,10
102,Express,Weekday,126,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,11
103,Express,Weekday,100,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,12
104,Express,Weekday,75,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,13
120,Express,Weekday,67,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,14
121,Express,Weekday,153,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,15
122,Express,Weekday,33,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,16
140,Express,Weekday,130,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,17
141,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,18
168,Express,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,19
180,Express,Weekday,1489,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,20
181,Express,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,21
182,Express,Weekday,88,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,22
183,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,23
185,Express,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,24
200,Other,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,25
201,Local,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,26
202,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,27
203,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,28
231,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,29
251,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,30
252,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,31
253,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,32
254,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,33
255,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,34
256,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,35
261,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,36
304,Limited,Weekday,236,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,37
305,Null,Weekday,109,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,38
321,Limited,Weekday,34,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,39
323,Core,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,40
328,Limited,Weekday,16,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,41
330,Limited,Weekday,73,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,42
522,Core,Weekday,4472,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,43
900,LRT,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,44
901,LRT,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,45
902,LRT,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,46
920,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,47
10,Local,Saturday,1094,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,48
11,Null,Saturday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,49
12,Null,Saturday,820,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,50
10,Local,Weekday,1470,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,51
11,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,52
12,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,53
13,Community,Weekday,201,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,54
14,Community,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,55
15,Null,Weekday,61,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,56
16,Community,Weekday,163,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,57
17,Community,Weekday,143,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,58
18,Community,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,59
19,Community,Weekday,195,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,60
22,Core,Weekday,16881,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,61
23,Core,Weekday,5939,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,62
25,Core,Weekday,6627,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,63
26,Core,Weekday,3667,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,64
27,Local,Weekday,1307,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,65
31,Local,Weekday,1211,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,66
32,Community,Weekday,909,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,67
33,Null,Weekday,331,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,68
34,Community,Weekday,249,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,69
35,Local,Weekday,1476,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,70
36,Null,Weekday,692,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,71
37,Community,Weekday,193,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,72
38,Null,Weekday,146,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,73
39,Community,Weekday,502,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,74
40,Local,Weekday,556,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,75
41,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,76
42,Community,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,77
43,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,78
44,Null,Weekday,53,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,79
45,Community,Weekday,62,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,80
46,Local,Weekday,524,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,81
47,Local,Weekday,891,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,82
48,Community,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,83
49,Community,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,84
51,Null,Weekday,471,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,85
52,Local,Weekday,109,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,86
53,Local,Weekday,298,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,87
54,Local,Weekday,1130,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,88
55,Core,Weekday,1908,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,89
57,Local,Weekday,1070,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,90
58,Local,Weekday,1241,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,91
59,Null,Weekday,334,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,92
60,Core,Weekday,2547,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,93
61,Core,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,94
62,Core,Weekday,3023,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,95
63,Local,Weekday,806,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,96
64,Core,Weekday,3129,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,97
65,Community,Weekday,842,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,98
66,Core,Weekday,5367,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,99
67,Null,Weekday,74,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,100
68,Core,Weekday,4766,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,101
70,Core,Weekday,5430,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,102
71,Core,Weekday,1577,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,103
72,Core,Weekday,2867,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,104
73,Core,Weekday,2015,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,105
76,Null,Weekday,50,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,106
77,Core,Weekday,1746,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,107
81,Local,Weekday,3153,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,108
82,Local,Weekday,1524,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,109
85,Null,Weekday,1105,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,110
88,Community,Weekday,377,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,111
89,Local,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,112
101,Express,Weekday,111,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,113
102,Express,Weekday,112,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,114
103,Express,Weekday,99,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,115
104,Express,Weekday,77,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,116
120,Express,Weekday,74,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,117
121,Express,Weekday,157,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,118
122,Express,Weekday,30,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,119
140,Express,Weekday,126,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,120
141,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,121
168,Express,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,122
180,Express,Weekday,1345,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,123
181,Express,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,124
182,Express,Weekday,91,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,125
183,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,126
185,Express,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,127
200,Other,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,128
201,Local,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,129
202,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,130
203,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,131
231,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,132
251,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,133
252,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,134
253,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,135
254,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,136
255,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,137
256,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,138
261,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,139
304,Limited,Weekday,158,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,140
305,Null,Weekday,108,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,141
321,Limited,Weekday,41,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,142
323,Core,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,143
328,Limited,Weekday,14,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,144
330,Limited,Weekday,93,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,145
522,Core,Weekday,4563,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,146
900,LRT,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,147
901,LRT,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,148
902,LRT,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,149
920,Null,Weekday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,150
10,Local,Saturday,990,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,151
11,Null,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,152
12,Null,Saturday,779,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,153
13,Community,Saturday,80,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,154
14,Community,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,155
15,Null,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,156
16,Community,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,157
17,Community,Saturday,57,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,158
18,Community,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,159
19,Community,Saturday,79,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,160
22,Core,Saturday,11867,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,161
23,Core,Saturday,3756,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,162
25,Core,Saturday,4351,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,163
26,Core,Saturday,2156,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,164
27,Local,Saturday,698,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,165
31,Local,Saturday,637,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,166
32,Community,Saturday,231,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,167
33,Null,Saturday,290,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,168
34,Community,Saturday,105,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,169
35,Local,Saturday,846,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,170
36,Null,Saturday,693,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,171
37,Community,Saturday,90,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,172
38,Null,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,173
39,Community,Saturday,296,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,174
40,Local,Saturday,311,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,175
41,Null,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,176
42,Community,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,177
43,Null,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,178
44,Null,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,179
13,Community,Weekday,222,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,180
45,Community,Saturday,36,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,181
46,Local,Saturday,136,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,182
47,Local,Saturday,575,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,183
48,Community,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,184
49,Community,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,185
51,Null,Saturday,183,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,186
52,Local,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,187
53,Local,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,188
54,Local,Saturday,416,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,189
55,Core,Saturday,866,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,190
57,Local,Saturday,495,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,191
58,Local,Saturday,462,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,192
59,Null,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,193
60,Core,Saturday,1560,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,194
61,Core,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,195
62,Core,Saturday,1592,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,196
63,Local,Saturday,264,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,197
64,Core,Saturday,2368,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,198
65,Community,Saturday,320,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,199
66,Core,Saturday,3125,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,200
67,Null,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,201
14,Community,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,202
15,Null,Weekday,55,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,203
16,Community,Weekday,124,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,204
17,Community,Weekday,167,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,205
18,Community,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,206
19,Community,Weekday,179,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,207
22,Core,Weekday,15883,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,208
23,Core,Weekday,5377,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,209
25,Core,Weekday,5959,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,210
26,Core,Weekday,3578,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,211
27,Local,Weekday,1203,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,212
31,Local,Weekday,1093,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,213
32,Community,Weekday,907,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,214
33,Null,Weekday,338,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,215
34,Community,Weekday,283,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,216
35,Local,Weekday,1279,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,217
36,Null,Weekday,698,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,218
37,Community,Weekday,185,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,219
38,Null,Weekday,174,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,220
39,Community,Weekday,341,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,221
40,Local,Weekday,578,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,222
41,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,223
42,Community,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,224
43,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,225
44,Null,Weekday,33,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,226
45,Community,Weekday,56,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,227
46,Local,Weekday,551,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,228
47,Local,Weekday,893,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,229
48,Community,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,230
49,Community,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,231
51,Null,Weekday,614,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,232
52,Local,Weekday,188,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,233
53,Local,Weekday,373,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,234
54,Local,Weekday,935,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,235
55,Core,Weekday,2026,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,236
57,Local,Weekday,1015,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,237
58,Local,Weekday,1219,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,238
59,Null,Weekday,312,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,239
60,Core,Weekday,2250,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,240
61,Core,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,241
62,Core,Weekday,2721,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,242
63,Local,Weekday,890,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,243
64,Core,Weekday,2965,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,244
65,Community,Weekday,824,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,245
66,Core,Weekday,5156,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,246
67,Null,Weekday,89,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,247
68,Core,Weekday,5032,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,248
70,Core,Weekday,5421,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,249
71,Core,Weekday,1625,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,250
71,Core,Sunday,600,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,251
72,Core,Sunday,1393,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,252
73,Core,Sunday,534,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,253
76,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,254
77,Core,Sunday,1060,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,255
81,Local,Sunday,1238,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,256
82,Local,Sunday,675,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,257
85,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,258
88,Community,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,259
89,Local,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,260
101,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,261
102,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,262
103,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,263
104,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,264
120,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,265
121,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,266
122,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,267
140,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,268
141,Null,Sunday,103,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,269
168,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,270
180,Express,Sunday,852,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,271
181,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,272
182,Express,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,273
200,Other,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,274
201,Local,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,275
202,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,276
203,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,277
231,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,278
251,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,279
252,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,280
253,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,281
254,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,282
255,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,283
256,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,284
261,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,285
304,Limited,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,286
305,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,287
321,Limited,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,288
323,Core,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,289
328,Limited,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,290
330,Limited,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,291
522,Core,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,292
900,LRT,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,293
901,LRT,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,294
902,LRT,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,295
903,Null,Sunday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,296
920,Null,Sunday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,297
10,Local,Weekday,1365,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,298
11,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,299
12,Null,Weekday,0,2005/08/01 07:00:00+00,2005/08/01 07:00:00+00,300
68,Core,Saturday,3345,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,301
70,Core,Saturday,3404,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,302
71,Core,Saturday,934,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,303
72,Core,Saturday,1368,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,304
73,Core,Saturday,724,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,305
76,Null,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,306
77,Core,Saturday,1140,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,307
81,Local,Saturday,1449,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,308
82,Local,Saturday,653,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,309
85,Null,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,310
88,Community,Saturday,107,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,311
89,Local,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,312
101,Express,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,313
102,Express,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,314
103,Express,Saturday,0,2005/07/01 07:00:00+00,2005/07/01 07:00:00+00,315
